기준_년분기_코드,행정동_코드_명,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,시간대_건수~06_매출_건수
20254,조원동,편의점,1614605612,233280,64952,76103,35410
20254,조원동,슈퍼마켓,3865875006,319725,49195,86763,21485
20254,조원동,노래방,316925316,12059,4888,4434,954
20254,조원동,여관,102415121,2108,76,98,709
20254,조원동,세탁소,6366510,379,55,187,0
20254,조원동,피부관리실,97641861,1569,183,460,196
20254,조원동,네일숍,8481540,188,73,5,0
20254,조원동,미용실,793433461,18968,3520,5655,0
20254,조원동,자동차수리,1808583240,9715,542,2411,0
20254,조원동,스포츠클럽,134687833,504,131,168,0
20254,조원동,PC방,254667305,40637,19659,13471,5267
20254,조원동,당구장,72701210,3166,271,358,294
20254,조원동,한의원,1034242393,24175,1794,4533,0
20254,조원동,치과의원,701690918,5031,721,1462,0
20254,조원동,일반의원,2895277590,102102,10409,17089,7
20254,조원동,스포츠 강습,178014099,1023,6,79,0
20254,조원동,예술학원,141477231,874,22,134,0
20254,조원동,일반교습학원,170911958,368,0,0,0
20254,조원동,커피-음료,694706693,79903,16863,25381,1265
20254,조원동,호프-간이주점,1560160384,19912,1666,4617,4489
20254,조원동,분식전문점,870927377,77074,14873,21193,6425
20254,조원동,치킨전문점,281401550,8672,1502,2069,606
20254,조원동,패스트푸드점,1458759965,140421,34171,48421,8342
20254,조원동,제과점,168165062,16251,3039,4314,5
20254,조원동,양식음식점,35712960,402,86,185,0
20254,조원동,일식음식점,424647950,9701,2361,3618,270
20254,조원동,중식음식점,819467612,27456,1981,4532,79
20254,조원동,한식음식점,10185279497,275319,26438,52691,9416
20254,난향동,의약품,238118577,17444,793,1613,0
20254,난향동,일반의류,98446092,3478,92,185,0
20254,난향동,반찬가게,616732,62,0,0,0
20254,난향동,육류판매,76105551,2334,22,213,0
20254,난향동,슈퍼마켓,346775865,35419,2422,4988,1602
20254,난향동,세탁소,69205574,3408,79,369,0
20254,난향동,미용실,44482831,1160,61,108,0
20254,난향동,스포츠클럽,7659074,30,5,5,0
20254,난향동,골프연습장,20673163,620,10,24,65
20254,난향동,한의원,67503338,4357,19,814,0
20254,난향동,치과의원,385092553,2649,147,178,0
20254,난향동,일반의원,1010906689,100945,2154,6179,0
20254,난향동,스포츠 강습,144020702,693,0,126,0
20254,난향동,예술학원,204615768,1246,0,39,0
20254,난향동,일반교습학원,214551870,821,0,80,7
20254,난향동,커피-음료,16789094,2488,43,925,0
20254,난향동,호프-간이주점,80225480,2053,107,239,334
20254,난향동,분식전문점,11083359,1611,116,281,0
20254,난향동,치킨전문점,43968899,1230,18,188,6
20254,난향동,제과점,25559686,2381,186,425,27
20254,난향동,한식음식점,746276801,21022,2164,1927,66
20254,신림동,전자상거래업,210049274,198,18,0,0
20254,신림동,조명용품,412605117,7049,336,630,0
20254,신림동,애완동물,76595782,1734,239,597,0
20254,신림동,화장품,13651391,623,0,50,0
20254,신림동,의료기기,363290335,810,0,0,0
20254,신림동,의약품,4138286094,285645,56561,72254,8
20254,신림동,시계및귀금속,95376222,154,34,6,0
20254,신림동,안경,821301649,10399,3189,2730,0
20254,신림동,신발,11866826,217,12,25,0
20254,신림동,일반의류,2147174560,15672,617,1342,0
20254,신림동,청과상,6027732,713,41,133,0
20254,신림동,육류판매,1452633493,7626,1207,2134,0
20254,신림동,핸드폰,34406964,201,0,67,0
20254,신림동,편의점,6441234321,816798,262494,294459,126237
20254,신림동,슈퍼마켓,4862991661,581384,158612,188374,48193
20254,신림동,노래방,629570344,41464,19096,14761,7026
20254,신림동,여관,991508249,21858,4621,5964,5515
20254,신림동,부동산중개업,92931,929,929,0,0
20254,신림동,세탁소,371520230,53675,20925,18736,4328
20254,신림동,피부관리실,255576240,3817,1332,1392,165
20254,신림동,네일숍,68120934,862,222,410,12
20254,신림동,미용실,1155584123,21586,6064,8253,0
20254,신림동,자동차수리,1265619135,3622,136,679,0
20254,신림동,스포츠클럽,689950514,11984,2198,5895,513
20254,신림동,PC방,108866489,24143,14118,8497,3505
20254,신림동,당구장,65838189,4619,215,502,557
20254,신림동,한의원,355795449,8146,511,1590,0
20254,신림동,치과의원,1855652810,12400,2024,2556,0
20254,신림동,일반의원,8714904039,223650,42516,58883,0
20254,신림동,스포츠 강습,85247817,246,101,75,0
20254,신림동,예술학원,251855130,138,19,0,0
20254,신림동,커피-음료,1619293808,271821,81589,105056,11353
20254,신림동,호프-간이주점,4279947232,114406,36812,42246,33191
20254,신림동,분식전문점,1170930501,118432,24107,36884,11793
20254,신림동,치킨전문점,91454442,5673,956,1850,800
20254,신림동,패스트푸드점,312046960,28092,8661,11204,1562
20254,신림동,제과점,109422721,14519,3454,4708,33
20254,신림동,양식음식점,34591351,734,311,286,0
20254,신림동,일식음식점,433137231,9334,3387,3244,737
20254,신림동,중식음식점,435462867,17391,3619,5583,2039
20254,신림동,한식음식점,15128791431,371224,71435,108218,33400
20254,신사동,전자상거래업,10000000,12,0,0,0
20254,신사동,인테리어,196947482,777,0,0,0
20254,신사동,철물점,67335605,4556,118,531,0
20254,신사동,가전제품,32627329,285,0,14,0
20254,신사동,애완동물,4003087,156,24,6,0
20254,신사동,화초,7968932,146,10,20,0
20254,신사동,섬유제품,52915988,1459,0,94,0
20254,신사동,화장품,82684733,2147,50,64,0
20254,신사동,의약품,1887432039,144353,12633,22604,0
20254,신사동,시계및귀금속,25168253,429,0,76,0
20254,신사동,안경,177885492,1964,394,546,0
20254,신사동,신발,15317126,713,36,30,0
20254,신사동,일반의류,215274793,6936,212,416,0
20254,신사동,반찬가게,769910720,65501,5763,9552,0
20254,신사동,청과상,1622106918,153929,4337,10780,0
20254,신사동,수산물판매,284464725,16891,448,962,0
20254,신사동,육류판매,1490635473,63064,3867,6065,0
20254,신사동,미곡판매,13806196,651,6,13,0
20254,신사동,핸드폰,379756892,4608,646,670,0
20254,신사동,편의점,2999287180,423982,104397,133014,60214
20254,신사동,슈퍼마켓,2014905423,230809,37714,53431,10174
20254,신사동,노래방,333010747,12496,5398,3919,2814
20254,신사동,가전제품수리,34104264,1481,0,185,0
20254,신사동,세탁소,342568260,22947,7039,7713,823
20254,신사동,피부관리실,24842975,218,41,98,0
20254,신사동,네일숍,15249530,324,74,171,0
20254,신사동,미용실,989926309,26245,3935,5731,0
20254,신사동,자동차수리,957902650,4442,145,700,0
20254,신사동,스포츠클럽,21744426,157,48,70,0
20254,신사동,PC방,375569214,62782,29649,16447,8476
20254,신사동,당구장,70403378,4251,108,669,466
20254,신사동,한의원,362105850,11455,603,984,0
20254,신사동,치과의원,1732611293,15110,1456,2485,0
20254,신사동,일반의원,4312012961,207255,15813,29763,0
20254,신사동,스포츠 강습,72533416,261,0,94,0
20254,신사동,예술학원,30000000,263,0,0,0
20254,신사동,일반교습학원,932065335,7816,600,1721,0
20254,신사동,커피-음료,80848242,13159,2871,3208,6
20254,신사동,호프-간이주점,774762808,13806,2206,3279,3960
20254,신사동,분식전문점,415188578,45772,7278,10571,3585
20254,신사동,치킨전문점,139705977,8374,1101,2059,99
20254,신사동,패스트푸드점,48380267,4372,1681,1386,0
20254,신사동,제과점,669398391,61672,7432,12838,20
20254,신사동,일식음식점,13073492,156,0,30,18
20254,신사동,중식음식점,102470057,1756,302,335,0
20254,신사동,한식음식점,4031295488,120514,15459,24592,4925
20254,서림동,전자상거래업,9000000,519,195,209,4
20254,서림동,인테리어,38620813,1661,0,270,0
20254,서림동,철물점,5071253,472,0,0,0
20254,서림동,가구,22570058,51,12,0,0
20254,서림동,화초,51403463,872,91,202,0
20254,서림동,운동/경기용품,16391504,440,72,87,0
20254,서림동,의약품,974355460,83819,7805,12875,0
20254,서림동,일반의류,243709960,3588,202,109,0
20254,서림동,반찬가게,43613828,11359,3884,3483,1563
20254,서림동,청과상,9707231,435,40,72,0
20254,서림동,육류판매,348469917,9659,878,1542,0
20254,서림동,미곡판매,851263,12,0,0,0
20254,서림동,편의점,1477344169,218223,56295,77027,31152
20254,서림동,슈퍼마켓,2738767626,299818,47202,71925,23327
20254,서림동,노래방,4793936,59,0,5,26
20254,서림동,가전제품수리,24000000,73,0,0,0
20254,서림동,세탁소,65128521,7412,2320,3093,714
20254,서림동,미용실,126785637,4663,447,831,0
20254,서림동,자동차미용,62941897,840,41,211,0
20254,서림동,자동차수리,524844893,4449,304,576,0
20254,서림동,스포츠클럽,121063696,475,124,83,0
20254,서림동,PC방,171180034,34555,18472,9199,6815
20254,서림동,당구장,37380588,2241,94,92,46
20254,서림동,한의원,103669492,5043,154,1010,0
20254,서림동,치과의원,509773463,3672,243,260,0
20254,서림동,일반의원,780096408,53982,4568,5691,0
20254,서림동,스포츠 강습,98882448,412,112,50,0
20254,서림동,예술학원,11419395,76,0,19,0
20254,서림동,일반교습학원,726757139,1726,98,162,0
20254,서림동,커피-음료,268585256,44137,9929,15510,890
20254,서림동,호프-간이주점,340457425,8842,887,1407,1177
20254,서림동,분식전문점,52328876,6178,1094,1658,48
20254,서림동,치킨전문점,78441249,2643,327,451,442
20254,서림동,패스트푸드점,189637817,4317,607,1131,0
20254,서림동,제과점,223596130,19458,3464,4059,80
20254,서림동,일식음식점,171800343,3709,588,382,0
20254,서림동,중식음식점,148102041,6291,719,1456,0
20254,서림동,한식음식점,3296957487,92548,10736,17970,2654
20254,신원동,인테리어,15521315,121,0,0,0
20254,신원동,철물점,40617319,3291,147,428,0
20254,신원동,애완동물,241431072,7431,1065,1475,0
20254,신원동,화초,3704914,128,71,0,0
20254,신원동,섬유제품,47036126,928,30,71,0
20254,신원동,화장품,32965145,224,0,21,10
20254,신원동,의약품,736418324,53235,2661,7619,0
20254,신원동,시계및귀금속,58426301,257,0,24,0
20254,신원동,일반의류,161854110,3988,73,88,0
20254,신원동,반찬가게,1721784955,38596,2262,4002,42
20254,신원동,청과상,4421886553,228498,6992,17936,0
20254,신원동,수산물판매,1506254436,85782,1709,4340,0
20254,신원동,육류판매,2083870669,82295,4727,9524,7
20254,신원동,편의점,763436250,111124,34576,38145,15732
20254,신원동,슈퍼마켓,2165471132,200674,18522,35443,10553
20254,신원동,노래방,109269679,1051,141,310,407
20254,신원동,가전제품수리,61144118,476,8,17,0
20254,신원동,세탁소,89624649,13560,4993,5496,1169
20254,신원동,피부관리실,58333334,85,0,0,0
20254,신원동,네일숍,3278338,51,21,6,0
20254,신원동,미용실,176301395,5148,373,953,0
20254,신원동,자동차수리,151666037,687,72,141,0
20254,신원동,당구장,10574561,786,30,86,5
20254,신원동,한의원,81620610,3097,13,46,0
20254,신원동,일반의원,349124819,20890,698,2412,0
20254,신원동,스포츠 강습,133998432,784,56,82,0
20254,신원동,예술학원,41798245,238,0,37,0
20254,신원동,일반교습학원,154977382,581,0,138,0
20254,신원동,커피-음료,136012251,24666,4063,8254,0
20254,신원동,호프-간이주점,647659885,13201,1984,2834,3039
20254,신원동,분식전문점,217979964,24981,2877,4771,0
20254,신원동,치킨전문점,18504113,1441,108,244,0
20254,신원동,패스트푸드점,51288250,2456,289,576,120
20254,신원동,제과점,174457411,15345,1975,3015,0
20254,신원동,일식음식점,79300874,3270,813,955,0
20254,신원동,중식음식점,27672895,1387,196,383,0
20254,신원동,한식음식점,5021525823,219395,20049,31454,19147
20254,서원동,조명용품,87730779,743,0,0,0
20254,서원동,인테리어,44537901,1328,0,186,0
20254,서원동,화초,82582453,4010,1556,1688,0
20254,서원동,완구,94969488,2752,114,227,0
20254,서원동,화장품,488074734,8216,3678,2542,65
20254,서원동,서적,175579203,3284,832,859,0
20254,서원동,의약품,3852180512,176263,25303,37704,0
20254,서원동,시계및귀금속,420610296,1155,153,232,0
20254,서원동,안경,882937517,15771,7439,4570,0
20254,서원동,신발,993438193,8484,1874,2447,0
20254,서원동,일반의류,2858120842,45024,12399,11460,97
20254,서원동,육류판매,1429759715,84921,14498,20556,0
20254,서원동,편의점,4876543937,531722,163017,173108,55435
20254,서원동,슈퍼마켓,3904152519,499207,148917,156271,56524
20254,서원동,노래방,438139811,65554,33110,21459,7794
20254,서원동,여관,58784049,1147,337,298,502
20254,서원동,세탁소,89455589,7438,2967,2834,405
20254,서원동,피부관리실,665373123,7971,3232,3221,49
20254,서원동,네일숍,37457568,632,231,195,5
20254,서원동,미용실,962427384,21092,4595,6752,8
20254,서원동,자동차수리,586857074,3537,166,814,0
20254,서원동,스포츠클럽,11363107,55,15,20,0
20254,서원동,PC방,1975340045,320233,170739,95108,48148
20254,서원동,당구장,181998095,9585,3342,3175,1067
20254,서원동,한의원,176745640,5777,216,1152,0
20254,서원동,치과의원,1466220135,12738,2194,4021,0
20254,서원동,일반의원,1239517703,50594,5704,5966,0
20254,서원동,스포츠 강습,35634080,185,0,0,0
20254,서원동,예술학원,396619521,1256,192,264,0
20254,서원동,일반교습학원,16389840,60,0,14,0
20254,서원동,커피-음료,2279212566,336289,112509,110212,3982
20254,서원동,호프-간이주점,6436071240,140794,57344,53163,60830
20254,서원동,분식전문점,1678423615,194018,53738,60459,3127
20254,서원동,치킨전문점,342872707,10503,2953,2912,932
20254,서원동,패스트푸드점,870762521,87095,24973,29493,6485
20254,서원동,제과점,419392938,40189,7865,10053,12
20254,서원동,양식음식점,665131604,12310,3017,4189,14
20254,서원동,일식음식점,1483133686,42751,14544,11840,3347
20254,서원동,중식음식점,321647998,20328,7468,4024,969
20254,서원동,한식음식점,14159285245,455863,115129,133166,35541
20254,남현동,운동/경기용품,32779060,30,0,4,0
20254,남현동,화장품,36204316,61,0,7,0
20254,남현동,의약품,2028130760,143440,16444,32597,58
20254,남현동,안경,443435840,8966,4651,2253,0
20254,남현동,일반의류,683864203,8240,178,198,0
20254,남현동,반찬가게,17647344,380,0,0,0
20254,남현동,청과상,330538759,23393,974,2712,0
20254,남현동,육류판매,61814506,892,0,132,0
20254,남현동,편의점,2601972429,338143,89701,108878,29711
20254,남현동,슈퍼마켓,2092549670,149345,26893,43326,5580
20254,남현동,노래방,153386631,5247,1635,1608,473
20254,남현동,여관,469074459,19478,7086,6331,3482
20254,남현동,세탁소,90065659,4547,891,1332,125
20254,남현동,피부관리실,38389080,376,99,177,15
20254,남현동,네일숍,65736627,979,287,398,0
20254,남현동,미용실,706029427,20689,3028,4025,0
20254,남현동,자동차수리,720561577,4931,283,1475,0
20254,남현동,스포츠클럽,194634616,2476,1128,1013,0
20254,남현동,PC방,36000000,4595,2610,774,487
20254,남현동,골프연습장,397694782,6689,1330,1692,574
20254,남현동,한의원,533371045,17120,722,1625,0
20254,남현동,치과의원,1604744508,10498,1111,1919,0
20254,남현동,일반의원,2442585485,52810,4089,11447,0
20254,남현동,스포츠 강습,10139738,76,0,38,0
20254,남현동,예술학원,249773900,1211,130,238,0
20254,남현동,일반교습학원,96569343,414,0,46,0
20254,남현동,커피-음료,896035352,162470,35768,49916,0
20254,남현동,호프-간이주점,2193843045,37980,11177,13335,7065
20254,남현동,분식전문점,502653760,50210,9049,12600,47
20254,남현동,치킨전문점,676126147,17077,3559,4293,1038
20254,남현동,패스트푸드점,187767282,19310,5309,5715,0
20254,남현동,제과점,541511489,52323,10679,12602,0
20254,남현동,일식음식점,1135565249,17533,4113,5269,3274
20254,남현동,중식음식점,608696857,21060,6350,5643,13
20254,남현동,한식음식점,6288986613,147363,23560,33882,5483
20254,인헌동,조명용품,194262231,11835,266,1276,0
20254,인헌동,인테리어,43256424,585,0,7,0
20254,인헌동,철물점,61226973,3363,86,319,0
20254,인헌동,애완동물,30310159,1110,92,139,0
20254,인헌동,섬유제품,298068500,3204,146,123,0
20254,인헌동,화장품,92478381,1474,50,110,0
20254,인헌동,문구,21310920,675,67,105,0
20254,인헌동,서적,7895923,1388,30,15,0
20254,인헌동,의약품,3437341671,263339,37829,57754,0
20254,인헌동,시계및귀금속,42737001,482,48,54,0
20254,인헌동,안경,285395725,1940,394,523,0
20254,인헌동,가방,26523064,1161,64,33,0
20254,인헌동,신발,573715313,4314,74,394,0
20254,인헌동,일반의류,369663257,8890,512,866,12
20254,인헌동,반찬가게,406019067,35943,2406,4937,0
20254,인헌동,청과상,4769432699,401333,17040,43022,0
20254,인헌동,수산물판매,1329140499,75554,2193,5669,0
20254,인헌동,육류판매,3557438385,123728,9777,15498,0
20254,인헌동,편의점,2067312008,261523,62711,82462,20097
20254,인헌동,슈퍼마켓,815175997,84378,11100,19768,2464
20254,인헌동,노래방,216135070,7302,3128,2107,1312
20254,인헌동,부동산중개업,179666172,310,0,0,0
20254,인헌동,세탁소,333047159,34653,8830,13026,1758
20254,인헌동,피부관리실,89533298,712,230,130,0
20254,인헌동,네일숍,24094662,362,107,88,0
20254,인헌동,미용실,453951010,11485,1644,2950,0
20254,인헌동,자동차수리,14627361,236,29,67,0
20254,인헌동,스포츠클럽,18168249,85,10,53,0
20254,인헌동,당구장,24319988,633,46,98,0
20254,인헌동,한의원,1300112282,43359,2188,5135,0
20254,인헌동,치과의원,1698812765,12497,807,1751,0
20254,인헌동,일반의원,7395050677,255348,25841,42753,0
20254,인헌동,스포츠 강습,90704682,474,64,156,0
20254,인헌동,예술학원,39033579,292,0,0,0
20254,인헌동,일반교습학원,528960361,939,0,23,10
20254,인헌동,커피-음료,1022796247,161739,37558,53946,296
20254,인헌동,호프-간이주점,1483713926,27868,5745,7981,6203
20254,인헌동,분식전문점,968995090,85248,11878,23355,546
20254,인헌동,치킨전문점,424343490,15252,2989,4645,316
20254,인헌동,패스트푸드점,40023476,2426,246,594,0
20254,인헌동,제과점,410314655,45707,6344,10385,4
20254,인헌동,일식음식점,156734140,10089,2575,3509,0
20254,인헌동,중식음식점,292432592,12100,981,2258,0
20254,인헌동,한식음식점,4629946838,185556,27349,43532,7461
20254,중앙동,조명용품,204051451,5786,61,1315,0
20254,중앙동,인테리어,8888927,310,0,0,0
20254,중앙동,철물점,168901035,9487,215,1159,0
20254,중앙동,가전제품,8689254,162,0,10,0
20254,중앙동,화장품,365502542,1434,122,215,0
20254,중앙동,서적,398093575,2703,28,889,0
20254,중앙동,의약품,3724151946,270193,21692,50586,0
20254,중앙동,시계및귀금속,846769,48,0,0,0
20254,중앙동,안경,337171067,2503,430,467,0
20254,중앙동,일반의류,368734250,6970,42,360,0
20254,중앙동,반찬가게,264000000,71999,25209,21589,11706
20254,중앙동,육류판매,583868512,12081,309,876,0
